City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
327,Miranda,CO,3.2499,-76.2281,69.93,90,55,4.81,broken clouds
328,Mandalgovi,MN,45.7625,106.2708,53.58,11,84,13.91,broken clouds
329,Ostrovnoy,RU,68.0531,39.5131,20.16,87,100,11.07,overcast clouds
330,Tautira,PF,-17.7333,-149.15,81.48,79,61,9.1,light rain
331,Trelew,AR,-43.249,-65.3051,60.1,25,100,19.57,overcast clouds
332,Dalbandin,PK,28.8947,64.4101,79.54,9,55,8.57,broken clouds
333,Quelimane,MZ,-17.8786,36.8883,78.75,89,40,2.3,scattered clouds
334,Killybegs,IE,54.6333,-8.45,39.78,76,99,0.78,overcast clouds
335,Labuhan,ID,-6.8844,112.2051,87.24,66,39,3.38,scattered clouds
336,Saint-Denis,FR,48.9167,2.3333,38.08,71,0,10.36,clear sky
337,Nara,JP,34.6851,135.8049,54.77,67,100,6.53,overcast clouds
338,East London,ZA,-33.0153,27.9116,65.34,100,75,6.91,broken clouds
339,Salinopolis,BR,-0.6136,-47.3561,77.88,88,51,8.81,broken clouds
340,Huarmey,PE,-10.0681,-78.1522,68.94,87,73,9.95,broken clouds
341,Alofi,NU,-19.0595,-169.9187,78.69,73,34,6.91,scattered clouds
342,Kyaikkami,MM,16.08,97.5675,85.39,50,94,5.97,overcast clouds
343,Piracanjuba,BR,-17.3028,-49.0167,67.03,71,7,4.0,clear sky
