City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
552,Banda Aceh,ID,81.46,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
553,Iquitos,PE,71.64,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
554,Axim,GH,79.83,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
556,Asyut,EG,77.83,overcast clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
558,Kloulklubed,PW,82.9,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
560,Matay,EG,70.97,overcast clouds,28.419,30.7792,Nag Aespen
565,Acajutla,SV,81.01,broken clouds,13.5928,-89.8275,Laureles
566,Veraval,IN,85.33,clear sky,20.9,70.3667,Lords Inn Somnath
568,Takoradi,GH,79.09,overcast clouds,4.8845,-1.7554,Raybow International Hotel
569,Bougouni,ML,80.69,overcast clouds,11.417,-7.479,Non Stop
571,Ravar,IR,76.71,scattered clouds,31.2656,56.8055,computertik
573,Acapulco,MX,75.02,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
574,Tecoanapa,MX,75.33,broken clouds,16.5167,-98.75,Hotel Manglares
577,Bubaque,GW,74.07,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
580,Ballina,AU,84.38,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
582,Angoche,MZ,77.67,scattered clouds,-16.2325,39.9086,Guest House HESADA
584,Ullal,IN,88.75,broken clouds,12.8,74.85,AK INTERNATIONAL LODGE
585,Basoko,CD,70.47,light rain,1.2391,23.616,Jackyna Hotel
589,Kirakira,SB,84.45,broken clouds,-10.4544,161.9205,SanBiz Lodge
595,Noumea,NC,85.98,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
596,Diffa,NE,77.92,overcast clouds,13.3154,12.6113,ProDAF/Diffa
598,Mackay,AU,79.68,broken clouds,-21.15,149.2,International Lodge Motel
599,Kawalu,ID,84.11,scattered clouds,-7.3817,108.2082,West Jontor
603,Lazaro Cardenas,MX,70.34,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
611,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
612,Kampot,KH,80.65,moderate rain,10.6167,104.1833,Two Moons Hotel
615,Kudahuvadhoo,MV,82.87,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
617,Sabla,NG,77.32,broken clouds,12.7525,4.7077,
623,Tiarei,PF,82.42,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
627,San Rafael Del Sur,NI,79.77,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
630,Sao Joao Da Barra,BR,75.13,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
631,Mlonggo,ID,86.32,broken clouds,-6.5333,110.7,Asia Metal Art
633,La Libertad,EC,75.38,overcast clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
634,Adelaide,AU,75.92,clear sky,-34.9333,138.6,The Chancellor on Currie
636,Karratha,AU,90.59,clear sky,-20.7377,116.8463,ibis Styles Karratha
637,Tonj,SS,83.07,overcast clouds,7.2737,28.6822,Lakan Hotel
641,Manta,EC,76.78,broken clouds,-0.95,-80.7333,Balandra Hotel
644,Byron Bay,AU,80.49,scattered clouds,-28.65,153.6167,Backpackers Inn
646,Kollam,IN,84.56,scattered clouds,8.8833,76.6,The Raviz Ashtamudi
648,Yangjiang,CN,70.47,clear sky,21.85,111.9667,HUALUXE Yangjiang City Center
652,Mumford,GH,79.21,overcast clouds,5.2618,-0.759,Spanish Villa
653,Teluk Nibung,ID,77.63,overcast clouds,3.001,99.8164,Hotel Assyifa
655,Wagar,SD,80.76,clear sky,16.1525,36.2032,
658,Mount Isa,AU,94.77,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
659,Jiwani,PK,80.89,overcast clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
660,Tabou,CI,77.07,overcast clouds,4.423,-7.3528,hotêl doufoulougou
662,Lahij,YE,81.05,clear sky,13.1667,44.5833,
664,Palu,ID,81.14,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
672,Gusau,NG,79.54,overcast clouds,12.1628,6.6614,GUEST INN
674,Mahajanga,MG,80.62,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
675,Ende,ID,87.12,broken clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
