City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
219,Sipe Sipe,-17.45,-66.3833,75.69,45,34,6.46,BO,2022-04-02 17:32:32
220,Puerto Rico,-26.796,-55.024,80.76,52,30,3.69,AR,2022-04-02 17:32:32
221,Karambakkudi,10.4667,79.1333,82.49,73,39,9.84,IN,2022-04-02 17:32:33
222,Kununurra,-15.7667,128.7333,69.78,78,47,0.0,AU,2022-04-02 17:32:33
223,Andros,37.8333,24.9333,61.36,71,55,21.14,GR,2022-04-02 17:32:34
224,Oranjemund,-28.55,16.4333,59.5,93,4,4.92,NA,2022-04-02 17:31:47
225,The Pas,53.8251,-101.2541,23.02,74,100,5.75,CA,2022-04-02 17:32:34
226,Mustasaari,63.1142,21.6822,33.75,80,20,4.61,FI,2022-04-02 17:32:35
227,Pochutla,15.7432,-96.4661,89.82,25,49,8.48,MX,2022-04-02 17:33:35
228,Xinzhi,36.4989,111.7047,50.23,20,0,3.33,CN,2022-04-02 17:33:35
229,Sechura,-5.5569,-80.8222,83.98,54,75,10.78,PE,2022-04-02 17:33:36
230,Deputatskiy,69.3,139.9,-20.72,100,96,1.72,RU,2022-04-02 17:33:36
231,Hambantota,6.1241,81.1185,80.31,78,20,5.95,LK,2022-04-02 17:33:37
232,Champerico,14.3,-91.9167,91.94,59,8,11.86,GT,2022-04-02 17:33:37
233,Lorengau,-2.0226,147.2712,78.24,83,100,3.96,PG,2022-04-02 17:33:38
234,Kiunga,-6.1219,141.2906,71.94,97,98,1.95,PG,2022-04-02 17:33:38
235,Zabid,14.1951,43.3152,83.59,59,2,3.62,YE,2022-04-02 17:33:38
236,Hay River,60.8156,-115.7999,-2.22,71,75,6.91,CA,2022-04-02 17:29:04
237,Fort-Shevchenko,44.5086,50.263,54.91,51,19,24.32,KZ,2022-04-02 17:33:39
238,Torbay,47.6666,-52.7314,43.57,92,100,23.02,CA,2022-04-02 17:30:24
239,Victoria,22.2855,114.1577,61.32,67,100,8.01,HK,2022-04-02 17:29:49
240,Agirish,61.9247,63.0231,7.03,95,76,0.56,RU,2022-04-02 17:33:40
241,Rocha,-34.4833,-54.3333,73.35,41,0,9.42,UY,2022-04-02 17:33:40
242,Katsuura,35.1333,140.3,51.6,65,100,10.22,JP,2022-04-02 17:33:40
243,Coquimbo,-29.9533,-71.3436,58.73,82,100,6.91,CL,2022-04-02 17:29:50
244,Skjervoy,70.0311,20.9714,32.0,64,99,3.85,NO,2022-04-02 17:33:41
245,Komsomolskiy,40.4272,71.7189,63.32,42,8,0.0,UZ,2022-04-02 17:33:41
246,Clyde River,70.4692,-68.5914,14.23,85,100,8.05,CA,2022-04-02 17:33:42
247,Darhan,49.4867,105.9228,40.86,29,28,8.12,MN,2022-04-02 17:33:42
248,Labuhan,-6.8844,112.2051,78.46,78,100,6.46,ID,2022-04-02 17:33:43
249,Katherine,-14.4667,132.2667,70.12,64,37,4.61,AU,2022-04-02 17:33:43
250,Bemidji,47.4736,-94.8803,37.06,84,100,12.66,US,2022-04-02 17:33:43
251,Saskylakh,71.9167,114.0833,0.66,97,99,9.69,RU,2022-04-02 17:33:44
252,Bathsheba,13.2167,-59.5167,84.81,61,40,27.63,BB,2022-04-02 17:33:44
253,Zemio,5.0314,25.1361,82.33,45,95,4.29,CF,2022-04-02 17:33:45
254,Fort Nelson,58.8053,-122.7002,8.19,66,75,2.3,CA,2022-04-02 17:30:23
255,High Level,58.5169,-117.136,5.11,78,75,4.61,CA,2022-04-02 17:33:45
256,Lyubymivka,46.8106,33.5686,51.96,74,77,13.91,UA,2022-04-02 17:33:46
257,Oarai,36.3167,140.6,43.34,62,98,1.97,JP,2022-04-02 17:33:47
258,Kyren,51.6828,102.1408,32.38,63,63,5.17,RU,2022-04-02 17:33:47
259,Vanavara,60.34,102.2797,8.46,93,100,5.5,RU,2022-04-02 17:33:47
260,Bundaberg,-24.85,152.35,67.21,96,40,3.44,AU,2022-04-02 17:33:48
261,Coslada,40.4238,-3.5613,52.2,33,0,35.99,ES,2022-04-02 17:33:48
262,Boyolangu,-8.1181,111.8935,75.74,90,98,0.81,ID,2022-04-02 17:33:49
263,Kuminskiy,58.6667,66.5667,22.68,96,100,5.03,RU,2022-04-02 17:33:49
264,Talnakh,69.4865,88.3972,7.21,97,100,3.98,RU,2022-04-02 17:33:49
265,Maicao,11.3832,-72.2432,90.09,49,76,15.23,CO,2022-04-02 17:33:50
266,Morro Bay,35.3658,-120.8499,67.24,50,38,1.99,US,2022-04-02 17:33:50
267,Mulchen,-37.7167,-72.2333,73.26,29,82,6.02,CL,2022-04-02 17:33:51
268,Olafsvik,64.8945,-23.7142,41.43,96,100,18.1,IS,2022-04-02 17:33:51
269,Ginir,7.1333,40.7,61.75,61,91,1.28,ET,2022-04-02 17:33:52
270,Varzea Da Palma,-17.5981,-44.7308,93.72,26,8,8.34,BR,2022-04-02 17:33:52
271,Pisco,-13.7,-76.2167,71.02,73,0,8.05,PE,2022-04-02 17:33:52
272,Takoradi,4.8845,-1.7554,82.8,78,93,10.74,GH,2022-04-02 17:33:53
273,Deoria,26.5047,83.7872,81.99,49,0,4.92,IN,2022-04-02 17:33:53
274,Huarmey,-10.0681,-78.1522,75.36,71,83,11.72,PE,2022-04-02 17:33:54
275,Militello In Val Di Catania,37.2748,14.7934,50.88,76,40,14.97,IT,2022-04-02 17:34:54
276,Xuddur,4.1213,43.8894,89.08,30,92,10.76,SO,2022-04-02 17:34:55
277,Fremont,37.5483,-121.9886,67.6,68,0,3.44,US,2022-04-02 17:34:55
278,Biak,-0.9131,122.8766,75.94,88,100,7.61,ID,2022-04-02 17:34:56
279,Margate,51.3813,1.3862,44.31,58,24,8.01,GB,2022-04-02 17:30:34
280,College,64.8569,-147.8028,15.08,47,75,6.91,US,2022-04-02 17:34:56
281,San Pedro,14.35,121.0167,79.83,71,20,5.75,PH,2022-04-02 17:34:57
282,Dahra,36.2546,0.8519,52.99,53,31,7.74,DZ,2022-04-02 17:34:57
283,Thinadhoo,0.5333,72.9333,83.12,67,8,2.71,MV,2022-04-02 17:34:58
284,Moranbah,-22.0016,148.0466,70.54,82,3,7.05,AU,2022-04-02 17:34:58
285,Haines Junction,60.7522,-137.5108,26.55,63,88,1.14,CA,2022-04-02 17:34:58
286,Kirakira,-10.4544,161.9205,76.89,90,100,3.69,SB,2022-04-02 17:34:59
287,Cabinda,-5.55,12.2,82.54,83,40,6.91,AO,2022-04-02 17:31:34
288,Remedios,22.4947,-79.5458,86.92,59,2,12.17,CU,2022-04-02 17:34:59
289,Jiazi,22.8779,116.067,55.62,85,100,9.95,CN,2022-04-02 17:35:00
290,Yulara,-25.2406,130.9889,62.44,36,3,9.22,AU,2022-04-02 17:35:00
291,Farsund,58.0948,6.8047,43.95,60,43,17.69,NO,2022-04-02 17:35:01
292,Kavieng,-2.5744,150.7967,76.6,89,100,6.08,PG,2022-04-02 17:35:01
293,Broome,42.2506,-75.833,44.19,56,75,4.0,US,2022-04-02 17:35:02
